timestamp,param_id,hidden_layers,dropout_rate,learning_rate,batch_size,pos_weight,threshold,precision,recall,f1,training_time,early_stopped,convergence_epoch
20241126_144149,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[512, 2048, 512, 64]",0.5,0.01,20000,15.0,0.4,0.2494798562511821,0.9763138415988156,0.3974088580897861,165.27716159820557,False,
20241127_013717,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.4,"[512, 256, 128, 64]",0.7,0.01,20000,15.0,0.4,0.25085649029311,0.9755736491487786,0.3990915972747918,150.86936926841736,False,
20241127_175834,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.42,"[1024, 512, 256, 128]",0.6,0.01,20000,15.0,0.42,0.250285062713797,0.9748334566987416,0.3983063662482988,160.26991152763367,False,
20241127_000306,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.4,"[1024, 512, 256, 128]",0.7,0.01,20000,15.0,0.4,0.25,0.9748334566987416,0.3979453089590573,162.73376560211182,False,
20241127_165525,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.42,"[512, 1024, 512, 128]",0.7,0.01,20000,15.0,0.42,0.2509534706331045,0.9740932642487048,0.399090219863533,167.7708420753479,False,
20241126_162425,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[1024, 2048, 512, 128]",0.5,0.01,20000,15.0,0.4,0.2499525166191832,0.9740932642487048,0.3978234582829504,173.96709322929382,False,
20241127_035514,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[2048, 1024, 512, 128]",0.5,0.01,20000,15.0,0.4,0.2508577964163171,0.9740932642487048,0.3989692284371684,173.25944018363953,False,
20241126_233101,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.4,"[1024, 512, 256, 128]",0.6,0.01,20000,15.0,0.4,0.2510013351134846,0.9740932642487048,0.3991507430997877,157.23875617980957,False,
20241127_144645,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.42,"[256, 2048, 512, 128]",0.6,0.01,20000,15.0,0.42,0.2507144217946275,0.9740932642487048,0.3987878787878788,168.02833223342896,False,
20241127_152002,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.42,"[256, 2048, 512, 128]",0.7,0.01,20000,15.0,0.42,0.2511450381679389,0.9740932642487048,0.399332423001062,163.4418249130249,False,
20241126_222756,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.4,"[512, 1024, 512, 128]",0.7,0.01,20000,15.0,0.4,0.250190114068441,0.9740932642487048,0.3981243382241718,172.6991856098175,False,
20241127_183000,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.42,"[1024, 512, 256, 128]",0.7,0.01,20000,15.0,0.42,0.2500475014250427,0.9740932642487048,0.3979437556697913,163.63479590415955,False,
20241127_171602,hl4_dr0.5_lr0.01_bs15000_pw15.0_th0.42,"[1024, 512, 256, 128]",0.5,0.01,15000,15.0,0.42,0.2509541984732824,0.9733530717986676,0.3990289789106357,154.12072730064392,False,
20241127_010605,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.4,"[512, 256, 128, 64]",0.6,0.01,20000,15.0,0.4,0.2506671749904689,0.9733530717986676,0.3986660603304532,154.5377233028412,False,
20241127_042924,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.4,"[2048, 1024, 512, 128]",0.6,0.01,20000,15.0,0.4,0.2503808073115003,0.9733530717986676,0.3983038013024383,176.82997703552246,False,
20241127_003414,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[512, 256, 128, 64]",0.5,0.01,20000,15.0,0.4,0.2509541984732824,0.9733530717986676,0.3990289789106357,159.69289469718933,False,
20241126_225927,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[1024, 512, 256, 128]",0.5,0.01,20000,15.0,0.4,0.2507627765064836,0.9733530717986676,0.3987869598180439,157.71980929374695,False,
20241127_120725,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.42,"[1024, 2048, 512, 128]",0.7,0.01,20000,15.0,0.42,0.2513379204892966,0.9733530717986676,0.3995138994379462,181.7787847518921,False,
20241127_102307,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.42,"[512, 2048, 512, 64]",0.7,0.01,20000,15.0,0.42,0.2505239093160602,0.9733530717986676,0.3984848484848485,175.5524046421051,False,
20241127_162332,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.42,"[512, 1024, 512, 128]",0.6,0.01,20000,15.0,0.42,0.25028549676437,0.9733530717986676,0.3981831945495837,157.44381642341614,False,
20241126_204847,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.4,"[256, 2048, 512, 128]",0.7,0.01,20000,15.0,0.4,0.2508584509729111,0.9733530717986676,0.3989079326558471,169.5361876487732,False,
20241126_180530,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[256, 512, 128, 64]",0.5,0.01,20000,15.0,0.4,0.2523507963922471,0.9733530717986676,0.4007924413288631,157.11551928520203,False,
20241126_190903,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.4,"[256, 512, 128, 64]",0.7,0.01,20000,15.0,0.4,0.25,0.9726128793486306,0.3977599515665203,165.34873223304749,False,
20241126_194218,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[256, 2048, 512, 128]",0.5,0.01,20000,15.0,0.4,0.2511467889908257,0.9726128793486306,0.3992100865866626,168.06712746620178,False,
20241127_123816,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.42,"[256, 512, 128, 64]",0.5,0.01,20000,15.0,0.42,0.2510028653295129,0.9726128793486306,0.3990282417248709,159.85929036140442,False,
20241126_133344,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.4,"[512, 2028, 512, 128]",0.6,0.01,20000,15.0,0.4,0.2514351320321469,0.9726128793486306,0.3995742739850996,175.66915225982666,False,
20241126_111642,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.4,"[512, 2048, 1024, 256]",0.5,0.01,20000,15.0,0.4,0.2502857142857143,0.9726128793486306,0.3981214967429177,170.56851315498352,False,
20241126_232013,hl4_dr0.6_lr0.01_bs15000_pw15.0_th0.4,"[1024, 512, 256, 128]",0.6,0.01,15000,15.0,0.4,0.2513389441469013,0.9726128793486306,0.399452804377565,156.11827445030212,False,
20241127_091618,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.42,"[512, 2048, 512, 64]",0.5,0.01,20000,15.0,0.42,0.2498098859315589,0.9726128793486306,0.3975192860384208,177.41348004341123,False,
20241126_185747,hl4_dr0.7_lr0.01_bs15000_pw15.0_th0.4,"[256, 512, 128, 64]",0.7,0.01,15000,15.0,0.4,0.2510508215513947,0.9726128793486306,0.3990888382687927,159.09539103507996,False,
20241127_005445,hl4_dr0.6_lr0.01_bs15000_pw15.0_th0.4,"[512, 256, 128, 64]",0.6,0.01,15000,15.0,0.4,0.2510508215513947,0.9726128793486306,0.3990888382687927,155.57519817352295,False,
20241126_160054,hl4_dr0.5_lr0.01_bs10000_pw15.0_th0.4,"[1024, 2048, 512, 128]",0.5,0.01,10000,15.0,0.4,0.2528868360277136,0.9726128793486306,0.4014052237666106,163.38961696624756,False,
20241127_024612,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.4,"[2048, 1024, 512, 64]",0.6,0.01,20000,15.0,0.4,0.2505243088655863,0.9726128793486306,0.3984232868405093,177.35499000549316,False,
20241127_104542,hl4_dr0.5_lr0.01_bs15000_pw15.0_th0.42,"[1024, 2048, 512, 128]",0.5,0.01,15000,15.0,0.42,0.2513389441469013,0.9726128793486306,0.399452804377565,171.83772492408752,False,
20241127_211814,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.42,"[2048, 1024, 512, 64]",0.6,0.01,20000,15.0,0.42,0.2498573873359954,0.9726128793486306,0.3975794251134644,184.627742767334,False,
20241127_075349,hl4_dr0.6_lr0.01_bs15000_pw15.0_th0.42,"[512, 2028, 512, 128]",0.6,0.01,15000,15.0,0.42,0.2525951557093425,0.9726128793486306,0.4010376926598504,183.50715517997745,False,
20241126_214216,hl4_dr0.6_lr0.01_bs15000_pw15.0_th0.4,"[512, 1024, 512, 128]",0.6,0.01,15000,15.0,0.4,0.2518688901667625,0.9726128793486306,0.4001218026796589,151.58551049232483,False,
20241127_050345,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.4,"[2048, 1024, 512, 128]",0.7,0.01,20000,15.0,0.4,0.2499049068086725,0.9726128793486306,0.3976395823876532,171.84454536437988,False,
20241126_211011,hl4_dr0.5_lr0.01_bs15000_pw15.0_th0.4,"[512, 1024, 512, 128]",0.5,0.01,15000,15.0,0.4,0.2511948002294016,0.9726128793486306,0.3992707383773929,163.32554650306702,False,
20241127_094912,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.42,"[512, 2048, 512, 64]",0.6,0.01,20000,15.0,0.42,0.2493831846650218,0.9726128793486306,0.3969788519637462,170.29480075836182,False,
20241127_204157,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.42,"[2048, 1024, 512, 64]",0.5,0.01,20000,15.0,0.42,0.2512428298279158,0.9726128793486306,0.3993314086005166,181.4381468296051,False,
20241127_112048,hl4_dr0.6_lr0.01_bs15000_pw15.0_th0.42,"[1024, 2048, 512, 128]",0.6,0.01,15000,15.0,0.42,0.2519171779141104,0.9726128793486306,0.4001827318410233,169.77645468711853,False,
20241127_034335,hl4_dr0.5_lr0.01_bs15000_pw15.0_th0.4,"[2048, 1024, 512, 128]",0.5,0.01,15000,15.0,0.4,0.2520621523115289,0.9726128793486306,0.4003656307129798,173.9232678413391,False,
20241126_154941,hl4_dr0.7_lr0.01_bs20000_pw15.0_th0.4,"[512, 2048, 512, 64]",0.7,0.01,20000,15.0,0.4,0.2497149372862029,0.9726128793486306,0.3973990624527446,172.61861395835876,False,
20241127_181909,hl4_dr0.7_lr0.01_bs15000_pw15.0_th0.42,"[1024, 512, 256, 128]",0.7,0.01,15000,15.0,0.42,0.2510028653295129,0.9726128793486306,0.3990282417248709,157.00156545639038,False,
20241127_190031,hl4_dr0.5_lr0.01_bs20000_pw15.0_th0.42,"[512, 256, 128, 64]",0.5,0.01,20000,15.0,0.42,0.2507633587786259,0.9726128793486306,0.3987255348202094,150.58570885658264,False,
20241127_160158,hl4_dr0.6_lr0.01_bs10000_pw15.0_th0.42,"[512, 1024, 512, 128]",0.6,0.01,10000,15.0,0.42,0.2524495677233429,0.9726128793486306,0.4008541793776693,149.20006322860718,False,
20241126_123700,hl4_dr0.5_lr0.01_bs10000_pw15.0_th0.4,"[512, 2028, 512, 128]",0.5,0.01,10000,15.0,0.4,0.2522557112689575,0.9726128793486306,0.400609756097561,158.20502758026123,False,
20241127_061429,hl4_dr0.6_lr0.01_bs20000_pw15.0_th0.42,"[512, 2048, 1024, 256]",0.6,0.01,20000,15.0,0.42,0.2510508215513947,0.9726128793486306,0.3990888382687927,192.1532542705536,False,
